Name,Suburb,School Level
MOUNT PLEASANT PRIMARY SCHOOL,MOUNT PLEASANT,PRIMARY SCHOOLS
MOUNT TARCOOLA PRIMARY SCHOOL,GERALDTON,PRIMARY SCHOOLS
MUKINBUDIN DISTRICT HIGH SCHOOL,MUKINBUDIN,DISTRICT HIGH SCHOOLS
MULLALOO BEACH PRIMARY SCHOOL,MULLALOO,PRIMARY SCHOOLS
MULLALOO COMMUNITY KINDERGARTEN,MULLALOO,COMMUNITY KINDERGARTENS
MULLALOO HEIGHTS PRIMARY SCHOOL,MULLALOO,PRIMARY SCHOOLS
MULLEWA DISTRICT HIGH SCHOOL,MULLEWA,DISTRICT HIGH SCHOOLS
MULUDJA REMOTE COMMUNITY SCHOOL,FITZROY CROSSING,PRIMARY SCHOOLS
MUNDARING CHRISTIAN COLLEGE,MUNDARING,NON-GOVERNMENT
MUNDARING PRIMARY SCHOOL,MUNDARING,PRIMARY SCHOOLS
MUNDIJONG PRIMARY SCHOOL,MUNDIJONG,PRIMARY SCHOOLS
MUNGLINUP PRIMARY SCHOOL,MUNGLINUP,PRIMARY SCHOOLS
NAGLE CATHOLIC COLLEGE,GERALDTON,NON-GOVERNMENT
NANNUP DISTRICT HIGH SCHOOL,NANNUP,DISTRICT HIGH SCHOOLS
NAREMBEEN DISTRICT HIGH SCHOOL,NAREMBEEN,DISTRICT HIGH SCHOOLS
NARROGIN PRIMARY SCHOOL,NARROGIN,PRIMARY SCHOOLS
NARROGIN SENIOR HIGH SCHOOL,NARROGIN,SECONDARY SCHOOLS
NEDLANDS PRIMARY SCHOOL,NEDLANDS,PRIMARY SCHOOLS
NEERIGEN BROOK PRIMARY SCHOOL,ARMADALE,PRIMARY SCHOOLS
NEWBOROUGH PRIMARY SCHOOL,KARRINYUP,PRIMARY SCHOOLS
NEWDEGATE PRIMARY SCHOOL,NEWDEGATE,PRIMARY SCHOOLS
NEWMAN COLLEGE,CHURCHLANDS,NON-GOVERNMENT
NEWMAN PRIMARY SCHOOL,NEWMAN,PRIMARY SCHOOLS
NEWMAN SENIOR HIGH SCHOOL,NEWMAN,SECONDARY SCHOOLS
NEWTON MOORE EDUCATION SUPPORT CENTRE,BUNBURY,EDUCATION SUPPORT
NEWTON MOORE SENIOR HIGH SCHOOL,SOUTH BUNBURY,SECONDARY SCHOOLS
NEWTON PRIMARY SCHOOL,SPEARWOOD,PRIMARY SCHOOLS
NGAANYATJARRA LANDS SCHOOL,WARAKURNA,PRIMARY SCHOOLS
NGALANGANGPUM SCHOOL,KUNUNURRA,NON-GOVERNMENT
NGALAPITA REMOTE COMMUNITY SCHOOL,FITZROY CROSSING,PRIMARY SCHOOLS
NOLLAMARA PRIMARY SCHOOL,NOLLAMARA,PRIMARY SCHOOLS
NORANDA PRIMARY SCHOOL,NORANDA,PRIMARY SCHOOLS
NORSEMAN DISTRICT HIGH SCHOOL,NORSEMAN,DISTRICT HIGH SCHOOLS
NORTH ALBANY SENIOR HIGH SCHOOL,ALBANY,SECONDARY SCHOOLS
NORTH BALGA PRIMARY SCHOOL,BALGA,PRIMARY SCHOOLS
NORTH BEACH PRIMARY SCHOOL,NORTH BEACH,PRIMARY SCHOOLS
NORTH COTTESLOE PRIMARY SCHOOL,COTTESLOE,PRIMARY SCHOOLS
NORTH DANDALUP PRIMARY SCHOOL,NORTH DANDALUP,PRIMARY SCHOOLS
NORTH EAST METROPOLITAN LANGUAGE DEVELOPMENT CENTRE,DIANELLA,EDUCATION SUPPORT
NORTH FREMANTLE PRIMARY SCHOOL,NORTH FREMANTLE,PRIMARY SCHOOLS
NORTH KALGOORLIE PRIMARY SCHOOL,KALGOORLIE,PRIMARY SCHOOLS
NORTH LAKE SENIOR CAMPUS,KARDINYA,SECONDARY SCHOOLS
NORTH MANDURAH PRIMARY SCHOOL,MANDURAH,PRIMARY SCHOOLS
NORTH MORLEY PRIMARY SCHOOL,DIANELLA,PRIMARY SCHOOLS
NORTH PARMELIA PRIMARY SCHOOL,PARMELIA,PRIMARY SCHOOLS
NORTH PERTH PRIMARY SCHOOL,NORTH PERTH,PRIMARY SCHOOLS
NORTH TOM PRICE PRIMARY SCHOOL,TOM PRICE,PRIMARY SCHOOLS
NORTH WOODVALE PRIMARY SCHOOL,WOODVALE,PRIMARY SCHOOLS
NORTHAM PRIMARY SCHOOL,NORTHAM,PRIMARY SCHOOLS
NORTHAM SENIOR HIGH SCHOOL,NORTHAM,SECONDARY SCHOOLS
NORTHAMPTON DISTRICT HIGH SCHOOL,NORTHAMPTON,DISTRICT HIGH SCHOOLS
NORTHCLIFFE DISTRICT HIGH SCHOOL,NORTHCLIFFE,DISTRICT HIGH SCHOOLS
NORTHSHORE CHRISTIAN GRAMMAR SCHOOL,ALKIMOS,NON-GOVERNMENT
NOTRE DAME CATHOLIC PRIMARY SCHOOL,CLOVERDALE,NON-GOVERNMENT
NULLAGINE PRIMARY SCHOOL,NULLAGINE,PRIMARY SCHOOLS
NULSEN PRIMARY SCHOOL,ESPERANCE,PRIMARY SCHOOLS
NUNGARIN PRIMARY SCHOOL,NUNGARIN,PRIMARY SCHOOLS
NYABING PRIMARY SCHOOL,NYABING,PRIMARY SCHOOLS
NYIKINA MANGALA COMMUNITY SCHOOL,MT ANDERSON STN (GT NTH HWY),NON-GOVERNMENT
O'CONNOR EDUCATION SUPPORT CENTRE,BOULDER,EDUCATION SUPPORT
O'CONNOR PRIMARY SCHOOL,KALGOORLIE,PRIMARY SCHOOLS
OAKWOOD PRIMARY SCHOOL,MEADOW SPRINGS,PRIMARY SCHOOLS
OBERTHUR PRIMARY SCHOOL,BULL CREEK,PRIMARY SCHOOLS
OCEAN REEF PRIMARY SCHOOL,OCEAN REEF,PRIMARY SCHOOLS
OCEAN REEF SENIOR HIGH SCHOOL,OCEAN REEF,SECONDARY SCHOOLS
OCEAN ROAD PRIMARY SCHOOL,DAWESVILLE,PRIMARY SCHOOLS
ONE ARM POINT REMOTE COMMUNITY SCHOOL,BROOME,PRIMARY SCHOOLS
ONGERUP PRIMARY SCHOOL,ONGERUP,PRIMARY SCHOOLS
ONSLOW PRIMARY SCHOOL,ONSLOW,PRIMARY SCHOOLS
ORANA CATHOLIC SCHOOL,WILLETTON,NON-GOVERNMENT
ORANGE GROVE PRIMARY SCHOOL,ORANGE GROVE,PRIMARY SCHOOLS
ORELIA PRIMARY SCHOOL,ORELIA,PRIMARY SCHOOLS
OSBORNE PRIMARY SCHOOL,OSBORNE PARK,PRIMARY SCHOOLS
OUR LADY OF FATIMA SCHOOL,PALMYRA,NON-GOVERNMENT
OUR LADY OF GOOD COUNSEL SCHOOL,KARRINYUP,NON-GOVERNMENT
OUR LADY OF GRACE SCHOOL,NORTH BEACH,NON-GOVERNMENT
OUR LADY OF LOURDES SCHOOL,DARDANUP,NON-GOVERNMENT
OUR LADY OF LOURDES SCHOOL,NOLLAMARA,NON-GOVERNMENT
OUR LADY OF MERCY PRIMARY SCHOOL,GIRRAWHEEN,NON-GOVERNMENT
OUR LADY OF MOUNT CARMEL SCHOOL,HILTON,NON-GOVERNMENT
OUR LADY OF MOUNT CARMEL SCHOOL,MULLEWA,NON-GOVERNMENT
OUR LADY OF THE CAPE PRIMARY SCHOOL,DUNSBOROUGH,NON-GOVERNMENT
OUR LADY STAR OF THE SEA CATHOLIC PRIMARY SCHOOL,ESPERANCE,NON-GOVERNMENT
OUR LADY'S ASSUMPTION SCHOOL,DIANELLA,NON-GOVERNMENT
PADBURY CATHOLIC PRIMARY SCHOOL,PADBURY,NON-GOVERNMENT
PADBURY COMMUNITY KINDERGARTEN,PADBURY,COMMUNITY KINDERGARTENS
PADBURY PRIMARY SCHOOL,PADBURY,PRIMARY SCHOOLS
PALMYRA PRIMARY SCHOOL,PALMYRA,PRIMARY SCHOOLS
PANNAWONICA PRIMARY SCHOOL,PANNAWONICA,PRIMARY SCHOOLS
PARABURDOO PRIMARY SCHOOL,PARABURDOO,PRIMARY SCHOOLS
PARKERVILLE PRIMARY SCHOOL,PARKERVILLE,PRIMARY SCHOOLS
PARKFIELD PRIMARY SCHOOL,AUSTRALIND,PRIMARY SCHOOLS
PARKLANDS SCHOOL,ALBANY,NON-GOVERNMENT
PARKWOOD PRIMARY SCHOOL,PARKWOOD,PRIMARY SCHOOLS
PARNNGURR COMMUNITY SCHOOL,VIA NEWMAN,NON-GOVERNMENT
PEARSALL PRIMARY SCHOOL,PEARSALL,PRIMARY SCHOOLS
PEEL LANGUAGE DEVELOPMENT SCHOOL,PORT KENNEDY,EDUCATION SUPPORT
PEGS CREEK PRIMARY SCHOOL,KARRATHA,PRIMARY SCHOOLS
PEMBERTON DISTRICT HIGH SCHOOL,PEMBERTON,DISTRICT HIGH SCHOOLS
PENRHOS COLLEGE,COMO,NON-GOVERNMENT
PERENJORI PRIMARY SCHOOL,PERENJORI,PRIMARY SCHOOLS
PERTH COLLEGE,MOUNT LAWLEY,NON-GOVERNMENT
PERTH INDIVIDUAL,BURSWOOD,NON-GOVERNMENT
PERTH MODERN SCHOOL,SUBIACO,SECONDARY SCHOOLS
PERTH WALDORF SCHOOL,BIBRA LAKE,NON-GOVERNMENT
PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,WELLARD,NON-GOVERNMENT
PETER MOYES ANGLICAN COMMUNITY SCHOOL,MINDARIE,NON-GOVERNMENT
PHOENIX PRIMARY SCHOOL,HAMILTON HILL,PRIMARY SCHOOLS
PIA WADJARRI REMOTE COMMUNITY SCHOOL,MURCHISON,PRIMARY SCHOOLS
PIARA WATERS PRIMARY SCHOOL,PIARA WATERS,PRIMARY SCHOOLS
PICKERING BROOK PRIMARY SCHOOL,PICKERING BROOK,PRIMARY SCHOOLS
PICTON PRIMARY SCHOOL,GLEN IRIS,PRIMARY SCHOOLS
PINEVIEW COMMUNITY KINDERGARTEN,COOLBELLUP,COMMUNITY KINDERGARTENS
PINGELLY PRIMARY SCHOOL,PINGELLY,PRIMARY SCHOOLS
PINGRUP PRIMARY SCHOOL,PINGRUP,PRIMARY SCHOOLS
PINJARRA PRIMARY SCHOOL,PINJARRA,PRIMARY SCHOOLS
PINJARRA SENIOR HIGH SCHOOL,PINJARRA,SECONDARY SCHOOLS
PIONEER VILLAGE SCHOOL,ARMADALE,NON-GOVERNMENT
PORT HEDLAND PRIMARY SCHOOL,PORT HEDLAND,PRIMARY SCHOOLS
PORT HEDLAND SCHOOL OF THE AIR,PORT HEDLAND,PRIMARY SCHOOLS
PORT KENNEDY PRIMARY SCHOOL,PORT KENNEDY,PRIMARY SCHOOLS
PORT SCHOOL,HAMILTON HILL,NON-GOVERNMENT
POSEIDON PRIMARY SCHOOL,HEATHRIDGE,PRIMARY SCHOOLS
POYNTER PRIMARY SCHOOL,DUNCRAIG,PRIMARY SCHOOLS
PRENDIVILLE CATHOLIC COLLEGE,OCEAN REEF,NON-GOVERNMENT
PRESBYTERIAN LADIES COLLEGE,PEPPERMINT GROVE,NON-GOVERNMENT
PURNULULU ABORIGINAL INDEPENDENT COMMUNITY SCHOOL,VIA KUNUNURRA,NON-GOVERNMENT
QUAIRADING DISTRICT HIGH SCHOOL,QUAIRADING,DISTRICT HIGH SCHOOLS
QUEEN OF APOSTLES SCHOOL,RIVERTON,NON-GOVERNMENT
QUEENS PARK PRIMARY SCHOOL,QUEENS PARK,PRIMARY SCHOOLS
QUINNS BAPTIST COLLEGE,MINDARIE,NON-GOVERNMENT
QUINNS BEACH PRIMARY SCHOOL,QUINNS ROCKS,PRIMARY SCHOOLS
QUINNS ROCKS PRIMARY SCHOOL,QUINNS ROCKS,PRIMARY SCHOOLS
QUINTILIAN SCHOOL,MOUNT CLAREMONT,NON-GOVERNMENT
RANFORD PRIMARY SCHOOL,CANNING VALE,PRIMARY SCHOOLS
RANGEWAY PRIMARY SCHOOL,RANGEWAY,PRIMARY SCHOOLS
RAPIDS LANDING PRIMARY SCHOOL,MARGARET RIVER,PRIMARY SCHOOLS
RAVENSTHORPE DISTRICT HIGH SCHOOL,RAVENSTHORPE,DISTRICT HIGH SCHOOLS
RAWA COMMUNITY SCHOOL ABORIGINAL CORPORATION,GREAT SANDY DESERT,NON-GOVERNMENT
RAWLINSON PRIMARY SCHOOL,MARANGAROO,PRIMARY SCHOOLS
REDCLIFFE PRIMARY SCHOOL,REDCLIFFE,PRIMARY SCHOOLS
REGENT COLLEGE,VICTORIA PARK,NON-GOVERNMENT
REHOBOTH CHRISTIAN COLLEGE,KENWICK,NON-GOVERNMENT
RICHMOND PRIMARY SCHOOL,EAST FREMANTLE,PRIMARY SCHOOLS
RIVER VALLEY PRIMARY SCHOOL,BUREKUP,PRIMARY SCHOOLS
RIVERGUMS PRIMARY SCHOOL,BALDIVIS,PRIMARY SCHOOLS
RIVERLANDS MONTESSORI SCHOOL,DAYTON,NON-GOVERNMENT
RIVERSIDE EDUCATION SUPPORT CENTRE,GREENFIELDS,EDUCATION SUPPORT
RIVERSIDE PRIMARY SCHOOL,GREENFIELDS,PRIMARY SCHOOLS
RIVERTON EDUCATION SUPPORT CENTRE,RIVERTON,EDUCATION SUPPORT
RIVERTON PRIMARY SCHOOL,RIVERTON,PRIMARY SCHOOLS
RIVERVALE PRIMARY SCHOOL,RIVERVALE,PRIMARY SCHOOLS
ROCKINGHAM BEACH EDUCATION SUPPORT CENTRE,ROCKINGHAM,EDUCATION SUPPORT
ROCKINGHAM BEACH PRIMARY SCHOOL,ROCKINGHAM,PRIMARY SCHOOLS
ROCKINGHAM JOHN CALVIN SCHOOL,BALDIVIS,NON-GOVERNMENT
ROCKINGHAM LAKES PRIMARY SCHOOL,PORT KENNEDY,PRIMARY SCHOOLS
ROCKINGHAM MONTESSORI SCHOOL,ROCKINGHAM,NON-GOVERNMENT
ROCKINGHAM SENIOR HIGH SCHOOL,ROCKINGHAM,SECONDARY SCHOOLS
ROCKINGHAM SENIOR HIGH SCHOOL EDUCATION SUPPORT CENTRE,ROCKINGHAM,EDUCATION SUPPORT
ROEBOURNE DISTRICT HIGH SCHOOL,ROEBOURNE,DISTRICT HIGH SCHOOLS
ROEBUCK PRIMARY SCHOOL,BROOME,PRIMARY SCHOOLS
ROLEYSTONE COMMUNITY COLLEGE,ROLEYSTONE,DISTRICT HIGH SCHOOLS
ROSALIE PRIMARY SCHOOL,SHENTON PARK,PRIMARY SCHOOLS
ROSEWORTH EDUCATION SUPPORT CENTRE,GIRRAWHEEN,EDUCATION SUPPORT
ROSEWORTH PRIMARY SCHOOL,GIRRAWHEEN,PRIMARY SCHOOLS
ROSSMOYNE PRIMARY SCHOOL,ROSSMOYNE,PRIMARY SCHOOLS
ROSSMOYNE SENIOR HIGH SCHOOL,ROSSMOYNE,SECONDARY SCHOOLS
ROSSMOYNE-RIVERTON COMMUNITY KINDERGARTEN,ROSSMOYNE,COMMUNITY KINDERGARTENS
ROSTRATA PRIMARY SCHOOL,WILLETTON,PRIMARY SCHOOLS
SACRED HEART CATHOLIC SCHOOL,GOOMALLING,NON-GOVERNMENT
SACRED HEART COLLEGE,SORRENTO,NON-GOVERNMENT
SACRED HEART PRIMARY SCHOOL,THORNLIE,NON-GOVERNMENT
SACRED HEART PRIMARY SCHOOL,HIGHGATE,NON-GOVERNMENT
SACRED HEART SCHOOL,VIA BROOME,NON-GOVERNMENT
SACRED HEART SCHOOL,MUNDARING,NON-GOVERNMENT
SAFETY BAY PRIMARY SCHOOL,SAFETY BAY,PRIMARY SCHOOLS
SAFETY BAY SENIOR HIGH SCHOOL,SAFETY BAY,SECONDARY SCHOOLS
SAINT EMILIE'S CATHOLIC PRIMARY SCHOOL,CANNING VALE,NON-GOVERNMENT
SAINT MARY'S PRIMARY SCHOOL,KALGOORLIE,NON-GOVERNMENT
SALMON GUMS PRIMARY SCHOOL,SALMON GUMS,PRIMARY SCHOOLS
SALVADO CATHOLIC COLLEGE,BYFORD,NON-GOVERNMENT
SAMSON PRIMARY SCHOOL,SAMSON,PRIMARY SCHOOLS
SANTA CLARA SCHOOL,ST JAMES,NON-GOVERNMENT
SANTA MARIA COLLEGE,ATTADALE,NON-GOVERNMENT
SAWYERS VALLEY PRIMARY SCHOOL,SAWYERS VALLEY,PRIMARY SCHOOLS
SCADDAN PRIMARY SCHOOL,SCADDAN,PRIMARY SCHOOLS
SCARBOROUGH PRIMARY SCHOOL,SCARBOROUGH,PRIMARY SCHOOLS
SCHOOL OF ISOLATED AND DISTANCE EDUCATION,LEEDERVILLE,K-12 SCHOOLS
SCHOOL OF SPECIAL EDUCATION NEEDS: SENSORY,PADBURY,SPECIALIST SERVICES
SCHOOL OF SPECIAL EDUCATIONAL NEEDS: BEHAVIOUR AND ENGAGEMENT,PADBURY,SPECIALIST SERVICES
SCOTCH COLLEGE,SWANBOURNE,NON-GOVERNMENT
SEAFORTH PRIMARY SCHOOL,GOSNELLS,PRIMARY SCHOOLS
SEAVIEW COMMUNITY KINDERGARTEN,COTTESLOE,COMMUNITY KINDERGARTENS
SECRET HARBOUR PRIMARY SCHOOL,SECRET HARBOUR,PRIMARY SCHOOLS
SERPENTINE PRIMARY SCHOOL,SERPENTINE,PRIMARY SCHOOLS
SERPENTINE-JARRAHDALE GRAMMAR SCHOOL,MUNDIJONG,NON-GOVERNMENT
SERVITE COLLEGE,TUART HILL,NON-GOVERNMENT
SETON CATHOLIC COLLEGE,SAMSON,NON-GOVERNMENT
SETTLERS PRIMARY SCHOOL,BALDIVIS,PRIMARY SCHOOLS
SEVENOAKS SENIOR COLLEGE,CANNINGTON,SECONDARY SCHOOLS
SHARK BAY SCHOOL,DENHAM,PRIMARY SCHOOLS
SHELLEY PRIMARY SCHOOL,SHELLEY,PRIMARY SCHOOLS
SHENTON COLLEGE,SHENTON PARK,SECONDARY SCHOOLS
SHENTON COLLEGE DEAF EDUCATION CENTRE,SHENTON PARK,EDUCATION SUPPORT
SINGLETON PRIMARY SCHOOL,SINGLETON,PRIMARY SCHOOLS
SIR DAVID BRAND SCHOOL,COOLBINIA,EDUCATION SUPPORT
SOMERLY PRIMARY SCHOOL,CLARKSON,PRIMARY SCHOOLS
SORRENTO PRIMARY SCHOOL,SORRENTO,PRIMARY SCHOOLS
SOUTH BALLAJURA EDUCATION SUPPORT CENTRE,BALLAJURA,EDUCATION SUPPORT
SOUTH BALLAJURA PRIMARY SCHOOL,BALLAJURA,PRIMARY SCHOOLS
SOUTH BUNBURY EDUCATION SUPPORT CENTRE,SOUTH BUNBURY,EDUCATION SUPPORT
SOUTH BUNBURY PRIMARY SCHOOL,SOUTH BUNBURY,PRIMARY SCHOOLS
SOUTH COAST BAPTIST COLLEGE,WAIKIKI,NON-GOVERNMENT
SOUTH COOGEE PRIMARY SCHOOL,BEELIAR,PRIMARY SCHOOLS
SOUTH EAST METROPOLITAN LANGUAGE DEVELOPMENT CENTRE,CLOVERDALE,EDUCATION SUPPORT
SOUTH HALLS HEAD PRIMARY SCHOOL,HALLS HEAD,PRIMARY SCHOOLS
SOUTH HEDLAND PRIMARY SCHOOL,SOUTH HEDLAND,PRIMARY SCHOOLS
SOUTH KALGOORLIE PRIMARY SCHOOL,KALGOORLIE,PRIMARY SCHOOLS
SOUTH LAKE PRIMARY SCHOOL,SOUTH LAKE,PRIMARY SCHOOLS
SOUTH METROPOLITAN YOUTH LINK COMMUNITY COLLEGE,ROCKINGHAM,NON-GOVERNMENT
SOUTH NEWMAN PRIMARY SCHOOL,NEWMAN,PRIMARY SCHOOLS
SOUTH PADBURY PRIMARY SCHOOL,PADBURY,PRIMARY SCHOOLS
SOUTH PERTH PRIMARY SCHOOL,SOUTH PERTH,PRIMARY SCHOOLS
SOUTH STIRLING PRIMARY SCHOOL,SOUTH STIRLING,PRIMARY SCHOOLS
SOUTH THORNLIE PRIMARY SCHOOL,THORNLIE,PRIMARY SCHOOLS
SOUTHERN CROSS DISTRICT HIGH SCHOOL,SOUTHERN CROSS,DISTRICT HIGH SCHOOLS
SOUTHERN GROVE PRIMARY SCHOOL,SOUTHERN RIVER,PRIMARY SCHOOLS
SOUTHERN HILLS CHRISTIAN COLLEGE,BEDFORDALE,NON-GOVERNMENT
SOUTHERN RIVER COLLEGE,GOSNELLS,SECONDARY SCHOOLS
SOUTHWELL PRIMARY SCHOOL,HAMILTON HILL,PRIMARY SCHOOLS
SOUTHWEST JOHN CALVIN CHRISTIAN COLLEGE,CAPEL,NON-GOVERNMENT
SOWILO COMMUNITY HIGH SCHOOL,KELMSCOTT,NON-GOVERNMENT
SPEARWOOD ALTERNATIVE SCHOOL,SPEARWOOD,PRIMARY SCHOOLS
SPEARWOOD PRIMARY SCHOOL,SPEARWOOD,PRIMARY SCHOOLS
SPENCER PARK EDUCATION SUPPORT CENTRE,ALBANY,EDUCATION SUPPORT
SPENCER PARK PRIMARY SCHOOL,SPENCER PARK,PRIMARY SCHOOLS
SPIRIT OF PLAY COMMUNITY SCHOOL,DENMARK,NON-GOVERNMENT
SPRING HILL PRIMARY SCHOOL,TAPPING,PRIMARY SCHOOLS
SPRING ROAD COMMUNITY KINDERGARTEN (INC),KALAMUNDA,COMMUNITY KINDERGARTENS
SPRINGFIELD PRIMARY SCHOOL,KALLAROO,PRIMARY SCHOOLS
ST ANDREW'S CATHOLIC PRIMARY SCHOOL,CLARKSON,NON-GOVERNMENT
ST ANDREW'S GRAMMAR,DIANELLA,NON-GOVERNMENT
ST ANNE'S SCHOOL,HARVEY,NON-GOVERNMENT
ST ANTHONY'S SCHOOL,GREENMOUNT,NON-GOVERNMENT
ST ANTHONY'S SCHOOL,WANNEROO,NON-GOVERNMENT
ST AUGUSTINE'S SCHOOL,RIVERVALE,NON-GOVERNMENT
ST BENEDICTS SCHOOL,APPLECROSS,NON-GOVERNMENT
ST BERNADETTE'S CATHOLIC PRIMARY SCHOOL,PORT KENNEDY,NON-GOVERNMENT
ST BERNARD'S SCHOOL,KOJONUP,NON-GOVERNMENT
ST BRIGID'S COLLEGE,LESMURDIE,NON-GOVERNMENT
ST BRIGID'S PRIMARY SCHOOL,MIDDLE SWAN,NON-GOVERNMENT
ST BRIGID'S SCHOOL,COLLIE,NON-GOVERNMENT
ST BRIGID'S SCHOOL,BRIDGETOWN,NON-GOVERNMENT
ST CECILIA'S CATHOLIC PRIMARY SCHOOL,PORT HEDLAND,NON-GOVERNMENT
ST CLARE'S SCHOOL,LATHLAIN,NON-GOVERNMENT
ST COLUMBA'S PRIMARY SCHOOL,BAYSWATER,NON-GOVERNMENT
ST COLUMBA'S SCHOOL,SOUTH PERTH,NON-GOVERNMENT
ST DAMIEN'S CATHOLIC PRIMARY SCHOOL,DAWESVILLE,NON-GOVERNMENT
ST DENIS SCHOOL,JOONDANNA,NON-GOVERNMENT
ST DOMINIC'S SCHOOL,INNALOO,NON-GOVERNMENT
ST ELIZABETH'S CATHOLIC PRIMARY SCHOOL,HOCKING,NON-GOVERNMENT
ST FRANCIS XAVIER PRIMARY SCHOOL,GERALDTON,NON-GOVERNMENT
ST FRANCIS' SCHOOL,MADDINGTON,NON-GOVERNMENT
ST GEORGE'S ANGLICAN GRAMMAR SCHOOL,PERTH,NON-GOVERNMENT
ST GERARDS PRIMARY SCHOOL,WESTMINSTER,NON-GOVERNMENT
ST HELENA'S CATHOLIC PRIMARY SCHOOL,ELLENBROOK,NON-GOVERNMENT
ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,MOSMAN PARK,NON-GOVERNMENT
ST JAMES' ANGLICAN SCHOOL,ALKIMOS,NON-GOVERNMENT
ST JEROME'S SCHOOL,MUNSTER,NON-GOVERNMENT
ST JOHN BOSCO COLLEGE,PIARA WATERS,NON-GOVERNMENT
ST JOHN PAUL II CATHOLIC PRIMARY SCHOOL,BANKSIA GROVE,NON-GOVERNMENT
ST JOHN'S SCHOOL,SCARBOROUGH,NON-GOVERNMENT
ST JOHN'S SCHOOL,RANGEWAY,NON-GOVERNMENT
ST JOSEPH'S CATHOLIC PRIMARY SCHOOL,BUNBURY,NON-GOVERNMENT
ST JOSEPH'S COLLEGE,ALBANY,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,SOUTHERN CROSS,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,PINJARRA,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,KUNUNURRA,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,NORTHAM,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,WAROONA,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,BOULDER,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,WYNDHAM,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,QUEENS PARK,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,MOORA,NON-GOVERNMENT
ST JOSEPH'S SCHOOL,PEMBERTON,NON-GOVERNMENT
ST JUDE'S CATHOLIC SCHOOL,LANGFORD,NON-GOVERNMENT
ST KIERAN CATHOLIC PRIMARY SCHOOL,TUART HILL,NON-GOVERNMENT
ST LAWRENCE PRIMARY SCHOOL,BALCATTA,NON-GOVERNMENT
ST LAWRENCE'S SCHOOL,GERALDTON,NON-GOVERNMENT
ST LUKE'S CATHOLIC PRIMARY SCHOOL,WOODVALE,NON-GOVERNMENT
ST LUKE'S COLLEGE,KARRATHA,NON-GOVERNMENT
ST MARIA GORETTIS CATHOLIC SCHOOL,REDCLIFFE,NON-GOVERNMENT
ST MARK'S ANGLICAN COMMUNITY SCHOOL,HILLARYS,NON-GOVERNMENT
ST MARY MACKILLOP COLLEGE,BUSSELTON,NON-GOVERNMENT
ST MARY'S ANGLICAN GIRLS' SCHOOL,KARRINYUP,NON-GOVERNMENT
ST MARY'S CATHOLIC PRIMARY SCHOOL,BUNBURY,NON-GOVERNMENT
ST MARY'S COLLEGE,BROOME,NON-GOVERNMENT
ST MARY'S SCHOOL,BOYUP BROOK,NON-GOVERNMENT
ST MARY'S SCHOOL,MERREDIN,NON-GOVERNMENT
ST MARY'S SCHOOL,DONNYBROOK,NON-GOVERNMENT
ST MARY'S SCHOOL,NORTHAMPTON,NON-GOVERNMENT
ST MARY'S STAR OF THE SEA CATHOLIC SCHOOL,CARNARVON,NON-GOVERNMENT
ST MATTHEW'S SCHOOL,NARROGIN,NON-GOVERNMENT
ST MICHAEL'S CATHOLIC PRIMARY SCHOOL,BRUNSWICK JUNCTION,NON-GOVERNMENT
ST MICHAEL'S SCHOOL,BASSENDEAN,NON-GOVERNMENT
ST MUNCHIN'S SCHOOL,GOSNELLS,NON-GOVERNMENT
ST NORBERT COLLEGE,QUEENS PARK,NON-GOVERNMENT
ST PATRICK'S PARISH SCHOOL,FREMANTLE,NON-GOVERNMENT
ST PATRICK'S SCHOOL - KATANNING,KATANNING,NON-GOVERNMENT
ST PAUL'S PRIMARY SCHOOL,KARRATHA,NON-GOVERNMENT
ST PAUL'S PRIMARY SCHOOL,MOUNT LAWLEY,NON-GOVERNMENT
ST PETER'S PRIMARY SCHOOL,INGLEWOOD,NON-GOVERNMENT
ST PIUS X SCHOOL,MANNING,NON-GOVERNMENT
ST SIMON PETER CATHOLIC PRIMARY SCHOOL,OCEAN REEF,NON-GOVERNMENT
ST STEPHEN'S SCHOOL,DUNCRAIG,NON-GOVERNMENT
ST THOMAS MORE CATHOLIC PRIMARY SCHOOL,MARGARET RIVER,NON-GOVERNMENT
ST THOMAS' PRIMARY SCHOOL,CLAREMONT,NON-GOVERNMENT
ST VINCENT'S SCHOOL,PARMELIA,NON-GOVERNMENT
STAR OF THE SEA PRIMARY SCHOOL,ROCKINGHAM,NON-GOVERNMENT
STRATHALBYN CHRISTIAN COLLEGE,STRATHALBYN,NON-GOVERNMENT
STRELLEY COMMUNITY SCHOOL,VIA PORT HEDLAND,NON-GOVERNMENT
SUBIACO PRIMARY SCHOOL,SUBIACO,PRIMARY SCHOOLS
